"corpus","ukwac"
"subcorpus","-"
"concordance size","47038"
"query","Query:[lc=""makes"" | lemma_lc=""makes""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"uklupus.co.uk","airport Sudan"," makes","  heritage"
"restormel.gov.uk",". It"," makes","  use  of"
"hewett.norfolk.sch.uk","both finds and"," makes","  areas  of"
"oriel.ox.ac.uk","division"," makes","  equipment  for"
"artscentral.co.uk","which"," makes","  people"
"24hourmuseum.org.uk","element that"," makes",""
"jamescowper.co.uk","a degree which"," makes",""
"ccpr.org.uk","in 1996, and"," makes","  silk  ties. In"
"healeyhero.co.uk","Site (WSWS)"," makes","  news  and"
"punk77.co.uk","interpreter"," makes",""
"americansc.org.uk","what"," makes","  bacteria  tick"
"scalibor.co.uk","taxation that"," makes","  income  tax"
"gwilliams.org.uk","(c. 36) (which"," makes","  provision  as"
"rostau.org.uk","and sizes. It"," makes","  sense  to tie"
"find-me-a-gift.co.uk","Tool HTML-Kit"," makes","  use  of a public"
"accfinweb.account.strath.ac.uk",", which"," makes","  service"
"milesfaster.co.uk","that"," makes","  work  outside"
"karibuni.co.uk",", for example,"," makes","  money  on fees"
"association-of-noise-consultants.co.uk","University"," makes","  provisions"
"aria.co.uk","a planet that"," makes","  hell  look"
"ukjournalism.co.uk","for military"," makes","  mockery  of UK"
"viglen.co.uk",". ''Hutcheson"," makes","  midway"
"medical-acupuncture.co.uk","publication"," makes","  sense  of"
"isrm.co.uk","the scene -"," makes","  millions  . He"
"isrm.co.uk","year old that"," makes","  millions  . He"
"preachtheword.co.uk","risk and"," makes","  proposals  for"
"cheshirefire.co.uk","wood fuel"," makes","  sense  because"
"birminghamfoe.org.uk","our language"," makes","  words  and"
"technology.timesonline.co.uk","Kingdom"," makes","  provision  for"
"equinetourism.co.uk","anything, it"," makes","  people  more"
"edinburgh-tattoo.co.uk",". This"," makes","  denunciation"
"swwater.co.uk","Bohta. "" It"," makes","  time  pass more"
"fanzone.co.uk","enjoyable, it"," makes","  life  more"
