"corpus","ukwac"
"subcorpus","-"
"concordance size","20642"
"query","Query:[lc=""uses"" | lemma_lc=""uses""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"newstartmag.co.uk","loop that"," uses","  radio"
"musica.co.uk","the ` ` regime"," uses","  revenue  from"
"workdevcon.nhs.uk",", the regime"," uses","  revenue  from"
"c2c-guide.co.uk","secure mode"," uses",""
"whitedragon.org.uk","battalion"," uses","  supply  point"
"whitedragon.org.uk","air transport"," uses","  unit"
"whitedragon.org.uk","issue. It also"," uses","  FARE  for"
"whitedragon.org.uk","normally"," uses","  supply  point"
"whitedragon.org.uk","supply point"," uses","  unit"
"whitedragon.org.uk",". The Army"," uses","  air  assets for"
"orcadian.co.uk","- who"," uses","  hi-tech"
"bolton.org.uk","to me, that he"," uses","  anamorphosis"
"moneysmartkids.co.uk","bass player"," uses","  six-string"
"hpa.org.uk","approach that"," uses","  emergence  to"
"manpower.co.uk","the composer"," uses",""
"croydon-tramlink.co.uk",", which"," uses","  client-"
"croydon-tramlink.co.uk","it only"," uses","  ''universal  ''"
"kented.org.uk","the editor"," uses","  CBREAK  mode ("
"stephthornton.co.uk","concrete and"," uses","  millions  of"
"defra.gov.uk","Time and"," uses","  loads  of tunes"
"nickys-nursery.co.uk","CTP build only"," uses","  ClearType"
"le.ac.uk","-"," uses","  iteration  and"
"le.ac.uk","work stable:)"," uses","  node-set"
"britishblogs.co.uk","over time. It"," uses","  data  sets,"
"studentcentral.co.uk","project"," uses","  software"
"businessbureau-uk.co.uk","settings,"," uses","  level  1"
"thefatcat.co.uk","of course"," uses","  Shakespeare"
"lux.org.uk",". Section 2"," uses","  survey  data to"
"artscentral.co.uk","absorbs and"," uses","  food  to ensure"
"highland-mountain-guides.co.uk","that"," uses","  elearning"
"antiquefairs.co.uk","exhibit,"," uses","  woodcut"
"cheers-wine-merchants.co.uk","because it"," uses","  hexadecimal"
"newtonproject.ic.ac.uk",", though each"," uses","  events  and,"
"hiddenhurt.co.uk","which"," uses","  ssh  , such as"
"ocr.org.uk","command. This"," uses","  mailcap  to"
"bhx.co.uk",". My provider"," uses","  qmail  , so ["
"baileyshorsefeeds.co.uk",". "" John often"," uses","  words  that"
"teachers.org.uk","","uses","  function"
"ml-consult.co.uk","scheme"," uses","  IM  to install a"
"businessbureau-uk.co.uk","D. Your body"," uses","  vitamin  D to"
"huddersfield1.co.uk","","uses",""
"huddersfield1.co.uk","","uses",""
"huddersfield1.co.uk",". Since it"," uses","  neat_list"
"sofeminine.co.uk","game that"," uses","  cards  instead"
"ipaqrepair.co.uk","system"," uses","  PCs  connected"
"daydreamnation.co.uk","exhibit,"," uses","  woodcut"
"abarnett.demon.co.uk","your company"," uses","  fax  marketing"
"abarnett.demon.co.uk","your company"," uses","  fax  marketing"
"met.rdg.ac.uk","This program"," uses","  software"
"seered.co.uk","important. It"," uses","  case  studies"
"debate.org.uk","that the work"," uses","  material  from"
"crocus.co.uk","Ascertain who"," uses","  products  like"
"politicalcartoon.co.uk","A) This unit"," uses","  ICE  to cool the"
"hysteria-lives.co.uk",". The reason it"," uses","  PC  parts is"
"hysteria-lives.co.uk","] The reason it"," uses","  PC  parts is"
"advaita.org.uk",": Schoolgirl"," uses","  power  of the"
"monologues.co.uk",". The DoH"," uses","  length  of"
"garysturt.free-online.co.uk","poets. She"," uses","  language  in a"
"deni.gov.uk","research that"," uses","  multi-level"
"setdanceteacher.co.uk","charity and"," uses","  mothers  ''"
"preachtheword.co.uk","This group"," uses","  economics"
"redking.co.uk","McCarthy"," uses","  letters  that"
"preachtheword.co.uk","approach"," uses","  alternatives"
"cwn.org.uk",". Moltex Oko"," uses","  tea  extracts"
"rhul.ac.uk",". Al Qaeda"," uses","  polemics  on"
"caroluk.co.uk","moves. He"," uses","  fence  posts"
"direct.bl.uk","films,"," uses","  bass  lines or"
"greatplacetowork.co.uk",". This feature"," uses","  cookies  so you"
"greatplacetowork.co.uk",". Metacrawler"," uses","  cookies  to"
"swmaritime.org.uk","(module A"," uses","  module  B which"
"swmaritime.org.uk","module B which"," uses","  module  A). It"
"swmaritime.org.uk",", but which"," uses","  host"
"swmaritime.org.uk",", but which"," uses","  host"
"swmaritime.org.uk","and that"," uses","  array"
"gardenaction.co.uk","- who"," uses","  hi-tech"
"kahun.man.ac.uk","West Building"," uses","  photographs"
"microsharp.co.uk",". This site"," uses","  cookies  but"
"inf.ed.ac.uk",", television"," uses","  music  during"
"thorncroft.co.uk","and"," uses","  masses  of"
"dca.gov.uk","that everyone"," uses","  metaphor  most"
"dca.gov.uk","a client"," uses","  metaphor  , but"
"news.bbc.co.uk","residential"," uses","  challenges"
"city.ac.uk","but New Labour"," uses","  academics"
"unixhelp.ed.ac.uk",". He seldom"," uses","  breakbeats  or"
"headheritage.co.uk","home that"," uses","  horses  as"
"ess.uwe.ac.uk","Functional"," Uses","  iteration  and"
"ess.uwe.ac.uk","Functional"," Uses","  iteration  and"
"stephthornton.co.uk","white paper"," uses","  results  from a"
"bristol-city.gov.uk","consults? and"," uses","  case-studies"
"observer.guardian.co.uk","beer on it)/me"," uses","  manuals  to"
"nwda.co.uk","the way it"," uses","  data  from the"
"dresscircle.co.uk","work I ''ve done"," uses","  XML  as a way of"
"journalonline.co.uk","in two parts,"," uses","  slowed-down"
"casi.org.uk","fiction that"," uses","  science  and"
"casi.org.uk","system. It"," uses","  chemical"
"spamfo.co.uk","ticket. The AP"," uses","  units  to"
"dailymail.co.uk","teacher as she"," uses","  theory  ,"
